A -->> a
A 1 -->> a+
A 1000 -->> a
A 1000- -->> A 1000 vertimas+2+3
A 10000 -->> A 10000 vertimas
A 10000+ -->> A 10000 vertimas x
A 10001 -->> A <enter> +++
A 10002 -->> A <enter> +++
A 10003 -->> A <enter> +++
A 10004 -->> A <enter> ++++
A 10004+ -->> A 10004 vertimas
A 10005 -->> A 10005 vertimas
A 10006 -->> A 10006 vertimas
A 10007 -->> A 10007 vertimas
A 10008 -->> A 10008 vertimas
A 10009 -->> A 10009 vertimas
A 100099 -->> A 10000 v
A 100099k -->> A 10000 vk
A 100099k+ -->> A 10000 vk
A 1001 -->> A 1001 vertimas
A 10010 -->> A 10010 vertimas
A 10011 -->> A 10011 vertimas
A 10012 -->> A 10012 vertimas
A 10013 -->> A 10013 vertimas
A 10014 -->> A 10014 vertimas
A 10016 -->> A 10016 vertimas
A 10017 -->> A 10017 vertimas
A 10018 -->> A 10018 vertimas
A 10019 -->> A 10019 vertimas
A 1002 -->> A 1002 vertimas
A 10020 -->> A 10020 vertimas
A 10021 -->> A 10021 vertimas
A 10022 -->> A 10022 vertimas
A 10023 -->> A 10023 vertimas
A 10024 -->> A 10024 vertimas
A 10024+ -->> A 10024 vertimas
A 10025 -->> A 10025 vertimas
A 10026 -->> A 10026 vertimas
A 10028 -->> A 10028 vertimas
A 10029 -->> A 10029 vertimas
A 1003 -->> A 1003 vertimas
A 10030 -->> A 10030 vertimas
A 10031 -->> A 10031 vertimas
A 10032 -->> A 10032 vertimas
A 10033 -->> A 10033 vertimas
A 10034 -->> A 10034 vertimas
A 10035 -->> A 10035 vertimas
A 10036+ -->> A 10036 vertimas
A 10037 -->> A 10037 vertimas
A 10037+ -->> A 10037 vertimas
A 10037++ -->> A 10037 vertimas33
A 10037+++ -->> A 10037 vertimas33
A 10037++++ -->> A 10037 vertimas33
A 10038 -->> A 10038 vertimas
A 10038+ -->> A 10038 vertimas
A 10039 -->> A 10039 vertimas
A 1004 -->> A 1004 vertimas
A 10040 -->> A 10040 vertimas
A 10041 -->> A 10041 vertimas
A 10042 -->> A 10042 vertimas
A 10043 -->> A 10043 vertimas
A 10044 -->> A 10044 vertimas
A 10045 -->> A 10045 vertimas
A 10046 -->> A 10046 vertimas
A 10047 -->> A 10047 vertimas
A 10048 -->> A 10048 vertimas
A 10049 -->> A 10049 vertimas
A 1005 -->> A 1005 vertimas
A 10050 -->> A 10050 vertimas
A 10051 -->> A 10051 vertimas
A 10052 -->> A 10052 vertimas
A 10053 -->> A 10053 vertimas
A 10054 -->> A 10054 vertimas
A 10055 -->> A 10055 vertimas+
A 10056 -->> A 10056 vertimas
A 10058 -->> A 10058 vertimas
A 1006 -->> A 1006 vertimas
A 10060 -->> A 10060 vertimas
A 10061 -->> A 10061 vertimas
A 10061+ -->> A 10061 vertimas
A 10062 -->> A 10062 vertimas
A 10063 -->> A 10063 vertimas
A 10064 -->> A 10064 vertimas
A 10065 -->> A 10065 vertimas
A 10066 -->> A 10066 vertimas
A 10067 -->> A 10067 vertimas
A 10068 -->> A 10068 vertimas
A 10069 -->> A 10069 vertimas
A 1007 -->> A 1007 vertimas
A 10070 -->> A 10070 vertimas
A 10071 -->> A 10071 vertimas
A 10072 -->> A 10072 vertimas
A 10073 -->> A 10073 vertimas
A 10074 -->> A 10074 vertimas
A 10075 -->> A 10075 vertimas
A 10076 -->> A 10076 vertimas
A 10077 -->> A 10077 vertimas
A 10078 -->> A 10078 vertimas
A 10079 -->> A 10079 vertimas
A 1008 -->> A 1008 vertimas
A 10080 -->> A 10080 vertimas
A 10081 -->> A 10081 vertimas
A 10082 -->> A 10082 vertimas
A 10083 -->> A 10083 vertimas
A 10084 -->> A 10084 vertimas
A 10085 -->> A 10085 vertimas
A 10086 -->> A 10086 vertimas
A 10087 -->> A 10087 vertimas
A 10088 -->> A 10088 vertimas
A 10089 -->> A 10089 vertimas
A 1009 -->> A 1009 vertimas
A 10090 -->> A 10090 vertimas
A 10091 -->> A 10091 vertimas
A 10092 -->> A 10092 vertimas
A 10093 -->> A 10093 vertimas
A 10094 -->> A 10094 vertimas
A 10095 -->> A 10095 vertimas
A 10096 -->> A 10096 vertimas
A 10097 -->> A 10097 vertimas
A 10098 -->> A 10098 vertimas
A 10099 -->> A 10099 vertimas
A 1010 -->> A 1010 vertimas
A 10100 -->> A 10100 vertimas
A 10101 -->> A 10101 vertimas
A 10102 -->> A 10102 vertimas
A 10103 -->> A 10103 vertimas
A 10104 -->> A 10104 vertimas
A 10105 -->> A 10105 vertimas
A 10106 -->> A 10106 vertimas
A 10107 -->> A 10107 vertimas
A 10108 -->> A 10108 vertimas
A 10109 -->> A 10109 vertimas
A 1011 -->> A 1011 vertimas
A 10110 -->> A 10110 vertimas
A 10111 -->> A 10111 vertimas
A 10112 -->> A 10112 vertimas
A 10113 -->> A 10113 vertimas
A 10114 -->> A 10114 vertimas
A 10115 -->> A 10115 vertimas
A 10116 -->> A 10116 vertimas
A 10117 -->> A 10117 vertimas
A 10118 -->> A 10118 vertimas
A 10119 -->> A 10119 vertimas
A 1012 -->> A 1012 vertimas
A 10120 -->> A 10120 vertimas
A 10121 -->> A 10121 vertimas
A 10122 -->> A 10122 vertimas
A 10123 -->> A 10123 vertimas
A 10124 -->> A 10124 vertimas
A 10125 -->> A 10125 vertimas
A 10126 -->> A 10126 vertimas
A 10127 -->> A 10127 vertimas
A 10128 -->> A 10128 vertimas
A 10129 -->> A 10129 vertimas
A 1013 -->> A 1013 vertimas
A 10130 -->> A 10130 vertimas
A 10131 -->> A 10131 vertimas
A 10132 -->> A 10132 vertimas
A 10133 -->> A 10133 vertimas
A 10134 -->> A 10134 vertimas
A 10135 -->> A 10135 vertimas
A 10136 -->> A 10136 vertimas
A 10137 -->> A 10137 vertimas
A 10138 -->> A 10138 vertimas
A 10139 -->> A 10139 vertimas
A 1014 -->> A 1014 vertimas
A 10140 -->> A 10140 vertimas
A 10141 -->> A 10141 vertimas
A 10142 -->> A 10142 vertimas
A 10143 -->> A 10143 vertimas
A 10144 -->> A 10144 vertimas
A 10145 -->> A 10145 vertimas
A 10146 -->> A 10146 vertimas
A 10147 -->> A 10147 vertimas
A 10148 -->> A 10148 vertimas
A 10149 -->> A 10149 vertimas
A 1015 -->> A 1015 vertimas
A 10150 -->> A 10150 vertimas
A 10151 -->> A 10151 vertimas
A 10152 -->> A 10152 vertimas
A 10153 -->> A 10153 vertimas
A 10154 -->> A 10154 vertimas
A 10155 -->> A 10155 vertimas
A 10156 -->> A 10156 vertimas
A 10157 -->> A 10157 vertimas
A 10158 -->> A 10158 vertimas
A 10159 -->> A 10159 vertimas
A 1016 -->> A 1016 vertimas
A 10160 -->> A 10160 vertimas
A 10161 -->> A 10161 vertimas
A 10162 -->> A 10162 vertimas
A 10163 -->> A 10163 vertimas
A 10164 -->> A 10164 vertimas
